meuseDB/meuse/gid,meuseDB/meuse/cadmium,meuseDB/meuse/copper,meuseDB/meuse/lead,meuseDB/meuse/zinc,meuseDB/meuse/elev,meuseDB/meuse/dist,meuseDB/meuse/om,meuseDB/meuse/ffreq,meuseDB/meuse/soil,meuseDB/meuse/lime,meuseDB/meuse/landuse,meuseDB/meuse/dist.m,meuseDB/meuse/geom
141,1.100000000000000,22.000000000000000,72.000000000000000,189.000000000000000,7.822000000000000,0.331454000000000,6.200000000000000,3,1,0,Ah,370.000000000000000,0101000020E61000000000000020E1054100000000F8241441
142,0.800000000000000,20.000000000000000,51.000000000000000,154.000000000000000,7.780000000000000,0.211846000000000,5.000000000000000,3,1,0,Fw,290.000000000000000,0101000020E61000000000000000E805410000000060251441
143,0.800000000000000,20.000000000000000,54.000000000000000,169.000000000000000,8.121000000000000,0.103029000000000,5.100000000000000,3,1,0,W,150.000000000000000,0101000020E610000000000000F0EA05410000000050231441
144,2.100000000000000,29.000000000000000,136.000000000000000,403.000000000000000,8.231000000000000,0.070355000000000,8.100000000000000,3,1,0,Bw,70.000000000000000,0101000020E610000000000000A8E70541000000003C211441
145,2.500000000000000,38.000000000000000,170.000000000000000,471.000000000000000,8.351000000000001,0.146576000000000,8.000000000000000,3,1,0,Bw,220.000000000000000,0101000020E61000000000000048E405410000000038221441
146,3.800000000000000,39.000000000000000,179.000000000000000,612.000000000000000,7.300000000000000,0.053772300000000,8.800000000000001,3,1,0,W,80.000000000000000,0101000020E61000000000000068E1054100000000C81F1441
147,3.200000000000000,35.000000000000000,200.000000000000000,601.000000000000000,7.536000000000000,0.119286000000000,9.300000000000001,3,1,0,W,120.000000000000000,0101000020E61000000000000080DA05410000000014201441
148,3.100000000000000,42.000000000000000,258.000000000000000,783.000000000000000,7.706000000000000,0.092143500000000,8.400000000000000,3,1,0,Ah,120.000000000000000,0101000020E61000000000000010D305410000000078211441
149,1.500000000000000,24.000000000000000,93.000000000000000,258.000000000000000,8.070000000000000,0.249863000000000,7.700000000000000,3,1,0,Am,260.000000000000000,0101000020E610000000000000F8DD05410000000088221441
150,1.200000000000000,20.000000000000000,68.000000000000000,214.000000000000000,8.226000000000001,0.374940000000000,5.700000000000000,3,1,0,Ah,440.000000000000000,0101000020E610000000000000B0DA05410000000088251441
151,0.800000000000000,20.000000000000000,49.000000000000000,166.000000000000000,8.128000000000000,0.423837000000000,4.700000000000000,3,1,0,Am,540.000000000000000,0101000020E61000000000000080DF05410000000018271441
152,3.100000000000000,39.000000000000000,173.000000000000000,496.000000000000000,8.577000000000000,0.423837000000000,9.100000000000000,3,1,0,Ah,520.000000000000000,0101000020E61000000000000068DC054100000000D0281441
153,2.100000000000000,31.000000000000000,119.000000000000000,342.000000000000000,8.429000000000000,0.277090000000000,6.500000000000000,3,1,0,Ah,350.000000000000000,0101000020E610000000000000D8D50541000000001C291441
154,0.800000000000000,21.000000000000000,51.000000000000000,162.000000000000000,9.406000000000001,0.358606000000000,5.700000000000000,3,1,0,W,460.000000000000000,0101000020E61000000000000050E8054100000000342A1441
155,2.700000000000000,27.000000000000000,124.000000000000000,375.000000000000000,8.260999999999999,0.012224300000000,5.500000000000000,3,3,0,W,40.000000000000000,0101000020E610000000000000980C06410000000038271441
